date_week	sum(count)
2018_53	78
2019_02	115
2019_03	94
2019_04	103
2019_05	101
2019_06	87
2019_07	111
2019_08	95
2019_09	82
2019_10	102
2019_11	108
2019_12	93
2019_13	109
2019_14	116
2019_15	100
2019_16	101
2019_17	107
2019_18	95
2019_19	115
2019_20	101
2019_21	120
2019_22	95
2019_23	89
2019_24	108
2019_25	93
2019_26	95
2019_27	109
2019_28	98
2019_29	92
2019_30	111
2019_31	83
2019_32	111
2019_33	90
2019_34	90
2019_35	84
2019_36	113
2019_37	90
2019_38	112
2019_39	103
2019_40	100
2019_41	92
2019_42	83
2019_43	86
2019_44	80
2019_45	82
2019_46	81
2019_47	62
2019_48	83
2019_49	69
2019_50	60
2019_51	67
2019_52	30
2019_53	76
2020_02	93
2020_03	79
2020_04	86
2020_05	82
2020_06	92
2020_07	84
2020_08	104
2020_09	88
2020_10	110
2020_11	86
2020_12	86
2020_13	66
2020_14	80
2020_15	84
2020_16	107
2020_17	84
2020_18	88
2020_19	107
2020_20	93
2020_21	96
2020_22	96
2020_23	104
2020_24	111
2020_25	91
2020_26	108
2020_27	101
2020_28	118
2020_29	105
2020_30	90
2020_31	91
2020_32	111
2020_33	94
2020_34	106
2020_35	115
2020_36	103
2020_37	81
2020_38	108
2020_39	103
2020_40	87
2020_41	107
2020_42	90
2020_43	102
2020_44	92
2020_45	83
2020_46	88
2020_47	76
2020_48	71
2020_49	66
2020_50	59
2020_51	47
2020_52	51
2020_53	4
2021_02	89
2021_03	69
2021_04	89
2021_05	116
2021_06	105
2021_07	76
2021_08	90
2021_09	91
2021_10	115
2021_11	105
2021_12	95
2021_13	91
2021_14	92
2021_15	100
2021_16	105
2021_17	127
2021_18	122
2021_19	107
2021_20	113
2021_21	109
2021_22	109
2021_23	96
2021_24	104
2021_25	88
2021_26	116
2021_27	107
2021_28	97
2021_29	90
2021_30	83
2021_31	93
2021_32	110
2021_33	91
2021_34	70
2021_35	84
2021_36	76
2021_37	78
2021_38	43
2021_39	40
2021_41	78
2021_42	87
2021_43	106
2021_44	87
2021_45	94
2021_46	78
2021_47	70
2021_48	95
2021_49	73
2021_50	54
2021_51	52
2021_52	53
2021_53	10
