date_week	sum(count)
2018_53	8605
2019_02	12094
2019_03	11956
2019_04	11566
2019_05	11683
2019_06	11745
2019_07	11702
2019_08	11566
2019_09	11398
2019_10	11353
2019_11	11398
2019_12	11338
2019_13	11161
2019_14	11549
2019_15	11359
2019_16	9605
2019_17	9963
2019_18	9883
2019_19	11431
2019_20	11404
2019_21	11444
2019_22	9817
2019_23	11110
2019_24	9934
2019_25	9939
2019_26	10408
2019_27	10712
2019_28	10946
2019_29	10629
2019_30	10656
2019_31	10173
2019_32	10103
2019_33	10146
2019_34	10567
2019_35	10387
2019_36	10313
2019_37	10581
2019_38	10753
2019_39	10995
2019_40	9437
2019_41	10929
2019_42	10907
2019_43	10786
2019_44	9530
2019_45	11313
2019_46	11160
2019_47	10757
2019_48	11002
2019_49	10617
2019_50	10223
2019_51	8961
2019_52	3221
2019_53	7233
2020_02	11545
2020_03	11432
2020_04	11204
2020_05	11273
2020_06	10941
2020_07	10818
2020_08	11031
2020_09	10646
2020_10	10850
2020_11	10066
2020_12	7386
2020_13	6637
2020_14	6766
2020_15	6357
2020_16	6841
2020_17	8146
2020_18	7727
2020_19	8829
2020_20	9361
2020_21	8425
2020_22	9620
2020_23	8980
2020_24	9306
2020_25	10046
2020_26	9799
2020_27	9758
2020_28	9714
2020_29	9698
2020_30	9714
2020_31	9474
2020_32	9349
2020_33	9286
2020_34	9549
2020_35	9461
2020_36	9476
2020_37	9697
2020_38	9970
2020_39	9766
2020_40	9741
2020_41	9932
2020_42	9392
2020_43	9392
2020_44	9153
2020_45	9109
2020_46	9054
2020_47	8930
2020_48	8758
2020_49	8617
2020_50	8264
2020_51	7203
2020_52	3836
2020_53	1371
2021_02	8102
2021_03	8777
2021_04	8851
2021_05	8615
2021_06	8638
2021_07	8664
2021_08	8969
2021_09	9222
2021_10	9171
2021_11	9614
2021_12	9487
2021_13	9528
2021_14	8111
2021_15	8021
2021_16	9332
2021_17	9349
2021_18	9193
2021_19	9488
2021_20	8471
2021_21	9386
2021_22	8355
2021_23	8690
2021_24	9684
2021_25	9658
2021_26	9574
2021_27	9366
2021_28	9622
2021_29	9541
2021_30	9299
2021_31	9199
2021_32	8963
2021_33	8921
2021_34	8770
2021_35	8518
2021_36	8422
2021_37	8097
2021_38	7242
2021_39	5527
2021_40	1631
2021_41	9481
2021_42	9515
2021_43	9237
2021_44	9350
2021_45	8541
2021_46	8830
2021_47	8533
2021_48	8202
2021_49	7802
2021_50	7584
2021_51	7077
2021_52	4434
2021_53	1755
