date_week	sum(count)
2018_53	5204
2019_02	9191
2019_03	9113
2019_04	8829
2019_05	8670
2019_06	8576
2019_07	8510
2019_08	8293
2019_09	8325
2019_10	8408
2019_11	8804
2019_12	8693
2019_13	8307
2019_14	8983
2019_15	9115
2019_16	7154
2019_17	7375
2019_18	7307
2019_19	9000
2019_20	8652
2019_21	8547
2019_22	6894
2019_23	8565
2019_24	7222
2019_25	7391
2019_26	8608
2019_27	8686
2019_28	8139
2019_29	8568
2019_30	7949
2019_31	7780
2019_32	8103
2019_33	7551
2019_34	7647
2019_35	8147
2019_36	7929
2019_37	7934
2019_38	8022
2019_39	8055
2019_40	6752
2019_41	8779
2019_42	8541
2019_43	8616
2019_44	7317
2019_45	8439
2019_46	8302
2019_47	8127
2019_48	8104
2019_49	7556
2019_50	7604
2019_51	6710
2019_52	1354
2019_53	3741
2020_02	8641
2020_03	8820
2020_04	8341
2020_05	8310
2020_06	8244
2020_07	8199
2020_08	8338
2020_09	7801
2020_10	7872
2020_11	7666
2020_12	4956
2020_13	4123
2020_14	4474
2020_15	4119
2020_16	4280
2020_17	5639
2020_18	5367
2020_19	6771
2020_20	6979
2020_21	5882
2020_22	7648
2020_23	6824
2020_24	7028
2020_25	8304
2020_26	7973
2020_27	8112
2020_28	8131
2020_29	7945
2020_30	7972
2020_31	7508
2020_32	7367
2020_33	7434
2020_34	7606
2020_35	7350
2020_36	7443
2020_37	7449
2020_38	7855
2020_39	7542
2020_40	7701
2020_41	7895
2020_42	7804
2020_43	7558
2020_44	7853
2020_45	7242
2020_46	7334
2020_47	6908
2020_48	6860
2020_49	6602
2020_50	6511
2020_51	5592
2020_52	1939
2020_53	607
2021_02	5976
2021_03	7355
2021_04	7315
2021_05	7363
2021_06	7333
2021_07	7088
2021_08	7618
2021_09	7620
2021_10	7830
2021_11	7945
2021_12	8243
2021_13	8063
2021_14	6463
2021_15	6329
2021_16	8226
2021_17	7934
2021_18	7837
2021_19	7557
2021_20	6230
2021_21	7808
2021_22	6483
2021_23	6836
2021_24	8066
2021_25	7633
2021_26	7783
2021_27	7554
2021_28	7605
2021_29	7183
2021_30	7166
2021_31	7067
2021_32	7050
2021_33	6791
2021_34	6767
2021_35	6470
2021_36	6238
2021_37	6167
2021_38	5866
2021_39	4881
2021_40	1390
2021_41	7630
2021_42	7504
2021_43	7243
2021_44	7525
2021_45	6605
2021_46	7201
2021_47	6569
2021_48	6328
2021_49	6106
2021_50	6094
2021_51	5711
2021_52	3047
2021_53	972
